road_key,total_crashes,night_crashes,rush_crashes,weekend_crashes,avg_ADT,accident_risk_level,congestion_risk_level,lat,lon
N MUDDY CREEK RD,1,1,0,0,210,Low,Low,36.7118855,-75.9988294
N ROSEMONT,1,0,1,0,30000,Low,Medium,36.8400806,-76.0976689
N WESTMALL DR,1,0,1,0,20000,Low,Medium,,
N WITCHDUCK RD,1,0,1,0,5100,Low,Low,,
N. GREAT NECK RD,1,0,1,0,39000,Low,High,36.8692377,-76.0421043
N. WITCHDUCK ROAD,1,1,0,0,5100,Low,Low,,
ND ST,2,0,0,2,9600,Medium,Low,,
NESBITT DR,1,0,1,0,9600,Low,Low,,
NEVAN RD,1,0,1,0,71000,Low,High,36.8495413,-76.0201226
NEW BRIDGE RD,5,2,2,2,2400,High,Low,36.7244692,-75.992286
NEWTON RD,1,0,0,0,15000,Low,Low,,
NEWTOWN RD,43,8,12,12,39000,High,High,36.8876,-76.0094
NEWTOWN RD N,1,0,0,1,39000,Low,High,,
NEWTOWN RD S,4,2,0,1,39000,Medium,High,,
NEWTOWN ROAD,2,1,1,0,39000,Medium,High,,
NIMMO PARKWAY,1,0,1,0,46000,Low,High,36.7573796,-75.995436
NIMMO PKWY,1,0,1,0,46000,Low,High,36.7552874,-75.9896199
NIMMO PW,7,0,4,1,41429,High,High,36.763484,-76.0196609
NORFOLK AV,7,1,3,5,11000,High,Low,36.8377363,-75.9842491
NORFOLK AVE,5,0,2,2,11000,High,Low,36.8379525,-75.9948191
NORTH BIRDNECK RD,1,0,0,1,3900,Low,Low,36.8383774,-75.9985844
NORTH BIRDNECK ROAD,2,1,0,1,3900,Medium,Low,36.8394788,-75.9978496
NORTH GREAT NECK RD,1,0,1,0,71000,Low,High,36.8850963,-76.04816
NORTH LANDING,1,0,0,0,3300,Low,Low,,
NORTH LANDING RD,19,3,9,3,39000,High,High,36.7452947,-76.0693581
NORTH LANDING ROAD,1,0,0,0,39000,Low,High,36.7452947,-76.0693581
NORTH MALL DR,1,0,0,1,20000,Low,Medium,36.8205471,-76.0688951
NORTH MUDDY CREEK ROAD,1,1,0,0,260,Low,Low,36.7118855,-75.9988294
NORTHAMPTN BL,1,0,1,0,30000,Low,Medium,,
NORTHAMPTON BL,79,13,29,21,30000,High,Medium,36.8895,-76.0408
NORTHAMPTON BLVD,8,1,1,2,30000,High,Medium,,
NORTHAMTPON BL,2,0,0,0,30000,Medium,Medium,,
NORTHWOOD DR,2,0,1,0,7200,Medium,Low,36.8071528,-76.0982092
OCEANA BL,24,4,9,5,30000,High,Medium,36.8420929,-76.0129864
OCEANA BLVD,8,1,6,3,30000,High,Medium,36.8388782,-76.0191514
OCEANA BOULEVARD,3,1,2,1,30000,Medium,Medium,36.8387219,-76.018681
OLD CLUBHOUSE RD,1,0,1,1,39000,Low,High,36.80159,-76.0772047
OLD CULTER RD,1,0,0,0,15000,Low,Low,,
OLD DAM NECK RD,4,0,2,0,36000,Medium,Medium,36.7811686,-75.9920401
OLD DAMN NECK RD,1,1,0,0,39000,Low,High,,
OLD DONATION PARKWAY,2,0,2,0,6700,Medium,Low,36.8640414,-76.0449107
OLD DONATION PKWY,1,0,1,0,6700,Low,Low,36.8636823,-76.042281
OLD DONATION PW,2,1,0,1,6700,Medium,Low,36.8636823,-76.042281
OLD FORGE ROAD,1,0,1,0,1200,Low,Low,,
OLD GREAT NECK RD,3,1,1,2,39000,Medium,High,36.8497679,-76.048713
OLD PROVIDENCE RD,2,1,0,1,400,Medium,Low,,
OLD PUNGO FERRY RD,2,1,0,0,4100,Medium,Low,,
OLD VIRGINIA BEACH RD,1,0,1,1,71000,Low,High,36.8486623,-75.9882526
OLD VIRGINIA RD,1,1,0,0,39000,Low,High,36.8492523,-75.9875799
OLIVE RD,1,0,1,0,15000,Low,Low,,
OPEN GREENS DR,1,0,1,0,20000,Low,Medium,,
ORILLA RD,1,1,0,0,19000,Low,Medium,,
OSPREY ST,1,0,0,0,16000,Low,Low,,
OXFORD DR,1,0,1,0,5000,Low,Low,36.8581263,-76.0912674
PACIFIC AV,9,0,5,3,17000,High,Medium,36.8406588,-75.9742938
PACIFIC AVE,9,2,1,4,17000,High,Medium,36.8642109,-75.9806129
PACIFIC AVENUE,2,1,0,1,17000,Medium,Medium,36.8329987,-75.9720988
PAGE AVE,1,0,1,0,7200,Low,Low,36.9096521,-76.0844144
PARKS AVE,2,0,0,0,80,Medium,Low,36.8409192,-75.9841524
PARLIAMENT DR,1,0,1,0,3300,Low,Low,,
PARLIMENT DR,1,0,0,0,20000,Low,Medium,,
PARLIMENT DR S,1,1,0,0,20000,Low,Medium,,
PAVILION DR,2,1,1,1,9400,Medium,Low,36.845837,-75.9930453
PEMBROKE BL,5,0,3,0,3800,High,Low,,
PEMBROKE BLVD,1,0,0,0,3800,Low,Low,,
PERIDOT DR,1,0,0,1,9600,Low,Low,,
PHOENIX DR,1,0,0,1,9600,Low,Low,,
PICASSO DRIVE,1,1,0,0,9400,Low,Low,,
PINEWOOD RD,1,0,0,0,39000,Low,High,36.8625831,-75.9916701
PLAZA  TRL,1,0,0,0,11000,Low,Low,36.8414122,-76.0910535
PLAZA N TRL,1,0,0,0,11000,Low,Low,36.8414122,-76.0910535
PLAZA TL S,1,0,1,0,11000,Low,Low,,
PLAZA TR S,2,0,1,1,5605,Medium,Low,,
PLAZA TRL N,1,0,0,1,11000,Low,Low,,
PLAZA TRL S,8,1,3,0,11000,High,Low,,
PLEASANT ACRES DR,1,1,0,1,20000,Low,Medium,36.7685989,-76.0636127
PLEASANT RIDGE RD,1,0,1,1,39000,Low,High,36.690577,-76.0120626
PLEASANT VALLEY,1,1,0,0,4100,Low,Low,,
PLEASANT VALLEY RD,11,4,3,4,4100,High,Low,,
PLEASURE HOUSE RD,17,3,9,9,16000,High,Low,,
POTTERS RD,2,0,1,0,5600,Medium,Low,36.8359312,-76.0568699
POTTERS ROAD,1,0,1,0,5600,Low,Low,36.8359312,-76.0568699
PRESIDENTAL BLVD,1,0,1,0,30000,Low,Medium,,
PRINCES ANNE RD,1,0,1,1,39000,Low,High,,
PRINCESS ANN RD,1,0,0,0,39000,Low,High,,
PRINCESS ANN ROAD,1,1,0,0,39000,Low,High,,
PRINCESS ANNE,1,1,0,0,20000,Low,Medium,36.7515388,-76.0529875
PRINCESS ANNE RD,198,39,74,34,20000,High,Medium,36.7875,-76.0568
PRINCESS ANNE ROAD,15,8,3,5,20000,High,Medium,,
PRINDESS ANNE RD,1,0,0,0,39000,Low,High,,
PROSPERITY RD,3,1,1,1,31000,Medium,Medium,36.80268,-75.985615
PROSPERITY ROAD,1,1,0,1,15000,Low,Low,36.80268,-75.985615
PROVIDENCE RD,29,4,3,8,17000,High,Medium,,
PROVIDENCE ROAD,3,1,1,1,17000,Medium,Medium,,
PUNGO FERRY RD,1,1,0,0,4100,Low,Low,,
QUEENSBURY DR,1,0,1,0,5000,Low,Low,36.8572707,-76.0821829
RACHEL ST,1,0,1,0,16000,Low,Low,,
RAINBOW DR,1,0,1,0,9600,Low,Low,,
REAGAN AV,2,1,1,0,2000,Medium,Low,36.8495078,-76.0556533
RED MAPLE LANE,1,0,1,0,1900,Low,Low,36.8326963,-76.0801154
REGENCY DR,4,1,0,2,9400,Medium,Low,36.8485142,-76.0330564
REON DR,4,0,1,0,11600,Medium,Low,,
REPUBLIC RD,3,2,1,2,36000,Medium,Medium,36.8514485,-76.0268241
REVERE DR,1,0,0,0,6700,Low,Low,,
REYNARD DR,1,0,0,0,9400,Low,Low,36.8494783,-76.0111848
RICHARD RD,1,1,0,0,39000,Low,High,,
RIVERBEND RD,2,0,2,2,2200,Medium,Low,36.8046524,-76.0848385
ROCK LAKE LO,1,0,1,0,120,Low,Low,,
ROCK LAKE LOOP,1,0,1,1,120,Low,Low,,
ROCK LAKE LP,2,0,1,0,120,Medium,Low,,
ROEBLING LN,1,1,0,1,1900,Low,Low,,
ROSEMONE RD S,1,0,0,0,15000,Low,Low,,
ROSEMONT RD,6,0,2,1,30000,High,Medium,36.8349784,-76.0956324
ROSEMONT RD N,9,2,1,2,30000,High,Medium,36.8397594,-76.0975259
ROSEMONT RD S,79,8,36,11,30000,High,Medium,36.8401452,-76.0978384
ROSSINI DR,1,1,0,1,9400,Low,Low,36.772873,-76.0044417
ROUND HILL DR,5,1,1,1,17000,High,Medium,,
ROUNDHILL DR,2,0,0,1,20000,Medium,Medium,,
RUGBY RD,1,0,1,0,15000,Low,Low,,
S BOGGS,1,0,1,1,7900,Low,Low,,
S CLUBHOUSE RD,1,0,0,0,39000,Low,High,36.7425429,-75.9827364
S INDEPENCE BLVD,1,1,0,0,30000,Low,Medium,,
S INDEPENDENCE,2,0,1,1,7900,Medium,Low,,
S INDEPENDENCE BL,5,2,3,2,73000,High,High,,
S INDEPENDENCE BLVD,5,2,0,3,73000,High,High,,
S INDY BLVD,1,1,0,1,30000,Low,Medium,,
S MILITARY HIGHWAY,1,0,0,1,11000,Low,Low,,
S MILITARY HWY,2,0,0,0,11000,Medium,Low,,
S PLAZA TRAIL,3,0,2,1,11000,Medium,Low,36.8364939,-76.0891796
S PLAZA TRL,5,0,0,2,11000,High,Low,36.8364939,-76.0891796
S ROSEMONT RD,6,1,3,0,30000,High,Medium,36.8091449,-76.0993775
S ROSEMONT ROAD,1,1,0,0,30000,Low,Medium,36.8091449,-76.0993775
S WITCHDUCK RD,1,1,0,0,5100,Low,Low,,
S. INDEPENDENCE,2,1,0,1,7900,Medium,Low,,
S. INDEPENDENCE BLVD,6,0,3,1,73000,High,High,,
S. INDEPENDENCE BOULEVARD,2,0,2,0,73000,Medium,High,,
S. ROSEMONT,1,0,1,1,7900,Low,Low,36.7954487,-76.0987162
S. ROSEMONT RD,3,1,2,1,30000,Medium,Medium,36.8091449,-76.0993775
S. ROSEMONT ROAD,3,1,1,0,30000,Medium,Medium,,
S. WITCHDUCK RD,1,0,1,0,5100,Low,Low,,
SABRE ST,8,0,3,2,12800,High,Low,36.8224319,-76.0729634
SALEM LAKES BL,2,1,1,0,30000,Medium,Medium,,
SALEM RD,28,5,9,6,15000,High,Low,,
SALEM ROAD,2,0,2,0,15000,Medium,Low,,
SANDBRIDGE RD,15,1,8,2,13000,High,Low,36.7335253,-75.9891307
SANDBRIDGE ROAD,3,1,1,1,13000,Medium,Low,36.7335253,-75.9891307
SANDFIDDLER RD,2,0,0,1,560,Medium,Low,36.7540599,-75.9475071
SANDFIDDLER ROAD,1,1,0,0,560,Low,Low,36.7540599,-75.9475071
SANDPIPER RD,5,2,2,3,5400,High,Low,36.7170826,-75.9345395
SCARLET OAK DR,2,0,1,1,13350,Medium,Low,36.8328473,-76.075597
SEABOARD RD,6,2,3,1,39000,High,High,36.7584532,-76.0330054
SEABOARD ROAD,1,0,1,0,39000,Low,High,36.7584532,-76.0330054
SEDLEY RD,1,1,0,1,15000,Low,Low,,
SELWOOD DR,1,0,1,0,9400,Low,Low,,
SHELL RD,4,1,2,0,700,Medium,Low,,
SHELTON RD,1,0,0,0,71000,Low,High,,
SHIPPS CORNER,1,0,0,1,7400,Low,Low,36.7920934,-76.079933
SHIPPS CORNER RD,2,1,0,0,7400,Medium,Low,36.7936888,-76.0753337
SHOE DR,1,0,1,0,5000,Low,Low,,
SHOOTING STAR DR,1,1,0,0,20000,Low,Medium,,
SHORE  DR,1,0,0,0,5000,Low,Low,,
SHORE DR,116,12,44,23,6110,High,Low,36.8999,-76.0237
SHORE DRIVE,3,2,1,1,8067,Medium,Low,,
SHORE RD,1,0,1,0,15000,Low,Low,,
SHOREHAVEN DR,3,0,0,0,20000,Medium,Medium,36.8815894,-76.0576239
SIGNATURE DR,2,0,1,1,12500,Medium,Low,36.7357328,-76.0575485
SILINA DR,10,2,6,3,6700,High,Low,36.8276197,-76.0874034
SILINA DRIVE,1,1,0,0,6700,Low,Low,36.8278797,-76.0788222
SIR BARTON DR,1,1,0,1,20000,Low,Medium,,
SKI LODGE RD,1,1,0,0,39000,Low,High,,
SKYLARK DR,1,0,0,0,9400,Low,Low,36.7972426,-76.0751366
SMITH FARM RD,1,0,1,0,39000,Low,High,,
SMOKEY CHAMBER DR,1,0,0,0,20000,Low,Medium,,
SOUT PLAZA TRAIL,1,0,1,0,11000,Low,Low,,
SOUTH BIRDNECK ROAD,1,0,0,0,3900,Low,Low,36.8175199,-75.9987969
SOUTH BL,4,2,1,1,4000,Medium,Low,36.8450655,-75.9940997
SOUTH BLVD,3,2,1,2,4000,Medium,Low,,
SOUTH BOULEVARD,1,0,1,0,4000,Low,Low,,
SOUTH EAST MALL,1,0,1,0,4000,Low,Low,,
SOUTH EAST MALL DR,1,0,1,0,20000,Low,Medium,,
SOUTH INDEPENDENCE BL,1,0,0,0,73000,Low,High,,
SOUTH INDEPENDENCE BLVD,3,0,1,2,73000,Medium,High,,
SOUTH INDEPENDENCE BOULEVARD,1,0,1,0,73000,Low,High,,
SOUTH LYNNHAVEN,1,0,1,0,46000,Low,High,36.8296503,-76.0763851
SOUTH LYNNHAVEN RD,1,1,0,0,71000,Low,High,36.8328202,-76.0718687
SOUTH LYNNHAVEN ROAD,3,0,3,0,24667,Medium,Medium,36.8296503,-76.0763851
SOUTH MILITARY HIGHWAY,1,1,0,0,4000,Low,Low,,
SOUTH PLAZA TL,1,0,0,0,11000,Low,Low,,
SOUTH PLAZA TRAIL,3,0,3,0,11000,Medium,Low,36.8364939,-76.0891796
SOUTH PLAZA TRL,2,0,1,0,11000,Medium,Low,36.8364939,-76.0891796
SOUTH ROSEMONT RD,3,0,0,0,30000,Medium,Medium,36.8091449,-76.0993775
SOUTH ROSEMONT ROAD,1,1,0,0,30000,Low,Medium,36.7954487,-76.0987162
SOUTH ROSEMONTH RD,1,0,1,0,39000,Low,High,,
SOUTH WITCHDUCK RD,1,0,0,0,5100,Low,Low,,
SOUTHERN BL,1,0,1,0,190,Low,Low,36.7552778,-76.0673987
SOUTHERN BLVD,2,0,1,0,190,Medium,Low,,
ST,1,1,0,0,15000,Low,Low,36.8496579,-75.9760751
ST MARSHALL DR,1,0,1,1,1000,Low,Low,36.8619608,-76.0409306
STANCIL COURT,2,2,0,0,210,Medium,Low,36.8322267,-76.0859527
STEWART DR,2,0,0,0,9500,Medium,Low,,
STONE SHORE RD,1,0,0,0,39000,Low,High,,
STONESHORE RD,3,0,2,2,3000,Medium,Low,36.8055368,-76.0965885
STUMPY LAKE LA,1,0,1,0,120,Low,Low,,
SULLIVAN BL,2,0,0,1,3500,Medium,Low,,
SULLIVAN BLVD,1,0,0,0,3500,Low,Low,,
SUNNYSIDE DR,1,0,0,0,9400,Low,Low,,
SUNSTREAM PW,1,0,1,1,43000,Low,High,,
SURRY RD,1,0,1,1,71000,Low,High,,
SUSQUEHANNA DR,2,1,1,0,2100,Medium,Low,,
SWEETWATER CT,1,0,1,1,8400,Low,Low,,
TAYLOR FARM RD,1,0,1,0,39000,Low,High,36.7938911,-76.0615508
TEALWOOD DR,1,0,1,1,9400,Low,Low,,
TERRAMAR LANE,1,0,0,0,1900,Low,Low,36.7318571,-76.0132091
TERRAZZO TR,1,1,0,0,210,Low,Low,,
TH ST,4,0,2,2,8025,Medium,Low,,
TH STREET,6,3,1,0,6317,High,Low,,
THALIA RD,3,1,2,1,3700,Medium,Low,,
THALIA TRACE DR,1,0,1,1,20000,Low,Medium,,
THREE OAKS DR,1,0,0,0,20000,Low,Medium,36.7556807,-76.0234584
TIFFANY LANE,2,0,1,0,1900,Medium,Low,,
TIFFANY LN,1,0,0,0,1900,Low,Low,,
TIMBER NECK TRL,1,0,1,0,36000,Low,Medium,36.8472652,-76.0667139
TOWER BRIDGE LO,1,1,0,0,2400,Low,Low,36.7746479,-76.0377992
TOWNFIELD LANE,1,0,0,1,1900,Low,Low,36.7589145,-75.9971922
TWINFLOWER LN,1,0,1,1,1900,Low,Low,36.7710557,-76.0809958
TYSON RD,2,1,0,0,22000,Medium,Medium,,
UPTON DR,16,3,8,5,7300,High,Low,36.7539122,-76.0083106
UPTON DRIVE,1,0,1,0,5000,Low,Low,36.7539122,-76.0083106
VICTORIA DR,1,0,1,0,9400,Low,Low,36.8320226,-76.0891967
VIKING DR,2,1,0,0,7300,Medium,Low,36.8295189,-76.0660315
VILLAGE DR,1,1,0,0,6700,Low,Low,36.8466671,-76.0279674
VILLAGE RD,3,0,1,2,49667,Medium,High,36.8455645,-76.0301508
VIRGINIA  BACH BLVD,1,0,1,0,30000,Low,Medium,,
VIRGINIA BEACH BL,239,45,68,48,30000,High,Medium,36.7159724,-76.0935474
VIRGINIA BEACH BLVD,50,4,23,12,30000,High,Medium,36.8513,-75.9826
VIRGINIA BEACH BOULEVARD,4,0,2,1,30000,Medium,Medium,,
VIRGINIA BLVD,1,0,1,0,30000,Low,Medium,,
VIRGNIA BEACH BLVD,1,0,0,1,30000,Low,Medium,,
VIRIGNIA BEACH BL,1,0,0,0,30000,Low,Medium,,
VLOCK WINDSOR OAKS BLVD,1,0,0,1,6000,Low,Low,,
W GIBBS RD,1,0,0,0,71000,Low,High,,
W. NECK RD.,1,0,0,0,7200,Low,Low,36.7495162,-76.0642373
WATERFRONT DR,4,2,1,3,16250,Medium,Low,36.8503588,-75.995083
WAVERLY DR,1,0,1,0,6700,Low,Low,36.8337833,-76.0941869
WEAVER DR,1,0,0,0,9600,Low,Low,,
WEBLIN DR,3,0,0,1,9600,Medium,Low,,
WENDFIELD DR,1,0,0,0,20000,Low,Medium,,
WESLEY DR,1,0,0,0,5000,Low,Low,36.8357639,-76.0628888
WESLEYAN DR,12,4,3,5,20000,High,Medium,,
WESLEYAN RD,1,1,0,1,39000,Low,High,,
WEST NECK RD,10,3,3,2,39000,High,High,36.7468862,-76.0615269
WEST NECK ROAD,2,1,0,1,23100,Medium,Medium,36.7494684,-76.0643702
WESTERFIELD RD,1,0,0,0,19000,Low,Medium,,
WESTGROVE RD,1,0,1,1,39000,Low,High,,
WESTMINSTER LANE,1,0,1,0,2200,Low,Low,,
WESTMINSTER LN,2,1,1,1,2200,Medium,Low,,
WEYBRIDGE DR,1,0,1,0,5000,Low,Low,36.7717276,-76.0162522
WHITE BLAZE CT,1,1,0,0,8400,Low,Low,,
WHITECHAPEL CT,1,0,1,0,8400,Low,Low,,
WIIGWAAS LN,1,1,0,0,1900,Low,Low,36.854951,-75.9839323
WINDDOR OAKS BL,1,0,1,1,30000,Low,Medium,,
WINDSOR OAKS BL,5,2,2,1,6000,High,Low,,
WINDSOR OAKS BLVD,5,1,2,1,6000,High,Low,,
WINDSOR OAKS BOULEVARD,1,1,0,1,6000,Low,Low,,
WINDSORS OAK BLVD,1,0,1,0,30000,Low,Medium,,
WINDWARD SHORE DR,1,0,0,0,20000,Low,Medium,36.9071277,-76.0432963
WINTERBERRY LANE,1,0,1,0,1900,Low,Low,36.7708817,-76.083512
WINTERBERRY LN,2,0,1,1,1900,Medium,Low,36.7708817,-76.083512
WISHART  RD,1,0,1,0,1200,Low,Low,,
WISHART RD,1,0,0,1,1200,Low,Low,,
WITCHDUCK N,2,0,1,0,320,Medium,Low,,
WITCHDUCK R S,1,0,1,0,11000,Low,Low,,
WITCHDUCK RD,8,1,4,0,5100,High,Low,,
WITCHDUCK RD N,32,3,14,9,5100,High,Low,,
WITCHDUCK RD N EXIT,1,0,1,0,5100,Low,Low,,
WITCHDUCK RD S,21,4,7,3,5100,High,Low,,
WITHCDUCK RD N,1,0,0,0,39000,Low,High,,
WOLFSNARE DR,1,0,1,0,4200,Low,Low,36.8590952,-76.0458094
WOLFSNARE RD,4,1,1,1,4200,Medium,Low,36.8546376,-76.0391037
WOODBURNE DR,1,0,0,0,5000,Low,Low,36.8124792,-76.0912545
WOODBURNE DRIVE,1,0,0,1,20000,Low,Medium,36.8124792,-76.0912545
WOODS EDGE RD,1,0,0,1,350,Low,Low,,
WOODSTOCK RD,1,0,1,0,39000,Low,High,,
YORKTOWN BLVD,1,0,0,0,30000,Low,Medium,,
YORKTOWN BOULEVARD,1,0,1,1,19000,Low,Medium,,
